support,itemsets
0.0527,Fase_operacao:CRUZEIRO + Fator:JULGAMENTO DE PILOTAGEM
0.0523,Fase_operacao:CRUZEIRO + Fator:MANUTENÇÃO DA AERONAVE
0.0392,Fase_operacao:CRUZEIRO + Fator:PLANEJAMENTO DE VOO
0.0392,Fase_operacao:CRUZEIRO + Fator:SUPERVISÃO GERENCIAL
0.0342,Fase_operacao:CRUZEIRO + Nivel_dano:DESTRUÍDA
0.0730,Fase_operacao:CRUZEIRO + Nivel_dano:SUBSTANCIAL
0.0505,Fase_operacao:CRUZEIRO + Tipo:FALHA DO MOTOR EM VOO
0.0689,Fase_operacao:DECOLAGEM + Fator:APLICAÇÃO DE COMANDOS
0.0446,Fase_operacao:DECOLAGEM + Fator:ATITUDE
0.1063,Fase_operacao:DECOLAGEM + Fator:JULGAMENTO DE PILOTAGEM
0.0432,Fase_operacao:DECOLAGEM + Fator:MANUTENÇÃO DA AERONAVE
0.0689,Fase_operacao:DECOLAGEM + Fator:PLANEJAMENTO DE VOO
0.0302,Fase_operacao:DECOLAGEM + Fator:POUCA EXPERIÊNCIA DO PILOTO
0.0468,Fase_operacao:DECOLAGEM + Fator:PROCESSO DECISÓRIO
0.0617,Fase_operacao:DECOLAGEM + Fator:SUPERVISÃO GERENCIAL
0.1356,Fase_operacao:DECOLAGEM + Nivel_dano:SUBSTANCIAL
0.0383,Fase_operacao:DECOLAGEM + Tipo:EXCURSÃO DE PISTA
0.0392,Fase_operacao:DECOLAGEM + Tipo:FALHA DO MOTOR EM VOO
0.0437,Fase_operacao:DECOLAGEM + Tipo:PERDA DE CONTROLE EM VOO
0.0369,Fase_operacao:DECOLAGEM + Tipo:PERDA DE CONTROLE NO SOLO
0.0338,Fase_operacao:DECOLAGEM + UF:SP
0.0387,Fase_operacao:ESPECIALIZADA + Nivel_dano:SUBSTANCIAL
0.0338,Fase_operacao:MANOBRA + Fator:APLICAÇÃO DE COMANDOS
0.0459,Fase_operacao:MANOBRA + Fator:JULGAMENTO DE PILOTAGEM
0.0590,Fase_operacao:MANOBRA + Nivel_dano:SUBSTANCIAL
0.0847,Fase_operacao:POUSO + Fator:APLICAÇÃO DE COMANDOS
0.0414,Fase_operacao:POUSO + Fator:ATITUDE
0.1077,Fase_operacao:POUSO + Fator:JULGAMENTO DE PILOTAGEM
0.0315,Fase_operacao:POUSO + Fator:PERCEPÇÃO
0.0410,Fase_operacao:POUSO + Fator:PLANEJAMENTO DE VOO
0.0374,Fase_operacao:POUSO + Fator:POUCA EXPERIÊNCIA DO PILOTO
0.0410,Fase_operacao:POUSO + Fator:PROCESSO DECISÓRIO
0.0428,Fase_operacao:POUSO + Fator:SUPERVISÃO GERENCIAL
0.0333,Fase_operacao:POUSO + Nivel_dano:LEVE
0.1315,Fase_operacao:POUSO + Nivel_dano:SUBSTANCIAL
0.0378,Fase_operacao:POUSO + Tipo:EXCURSÃO DE PISTA
0.0387,Fase_operacao:POUSO + Tipo:PERDA DE CONTROLE NO SOLO
0.0401,Fase_operacao:POUSO + UF:SP
0.0338,Fator:APLICAÇÃO DE COMANDOS + Fator:ATENÇÃO
0.1041,Fator:APLICAÇÃO DE COMANDOS + Fator:ATITUDE
0.0477,Fator:APLICAÇÃO DE COMANDOS + Fator:CAPACITAÇÃO E TREINAMENTO
0.0505,Fator:APLICAÇÃO DE COMANDOS + Fator:CONDIÇÕES METEOROLÓGICAS ADVERSAS
0.0554,Fator:APLICAÇÃO DE COMANDOS + Fator:COORDENAÇÃO DE CABINE
0.0365,Fator:APLICAÇÃO DE COMANDOS + Fator:INDISCIPLINA DE VOO
0.0671,Fator:APLICAÇÃO DE COMANDOS + Fator:INSTRUÇÃO
0.2653,Fator:APLICAÇÃO DE COMANDOS + Fator:JULGAMENTO DE PILOTAGEM
0.0491,Fator:APLICAÇÃO DE COMANDOS + Fator:MANUTENÇÃO DA AERONAVE
0.0676,Fator:APLICAÇÃO DE COMANDOS + Fator:PERCEPÇÃO
0.0941,Fator:APLICAÇÃO DE COMANDOS + Fator:PLANEJAMENTO DE VOO
0.1000,Fator:APLICAÇÃO DE COMANDOS + Fator:POUCA EXPERIÊNCIA DO PILOTO
0.1041,Fator:APLICAÇÃO DE COMANDOS + Fator:PROCESSO DECISÓRIO
0.0302,Fator:APLICAÇÃO DE COMANDOS + Fator:PROCESSOS ORGANIZACIONAIS
0.0302,Fator:APLICAÇÃO DE COMANDOS + Fator:SISTEMAS DE APOIO
0.1032,Fator:APLICAÇÃO DE COMANDOS + Fator:SUPERVISÃO GERENCIAL
0.0324,Fator:APLICAÇÃO DE COMANDOS + Mes:AGOSTO
0.0324,Fator:APLICAÇÃO DE COMANDOS + Mes:DEZEMBRO
0.0311,Fator:APLICAÇÃO DE COMANDOS + Mes:FEVEREIRO
0.0365,Fator:APLICAÇÃO DE COMANDOS + Mes:JANEIRO
0.0365,Fator:APLICAÇÃO DE COMANDOS + Mes:JULHO
0.0365,Fator:APLICAÇÃO DE COMANDOS + Mes:NOVEMBRO
0.0329,Fator:APLICAÇÃO DE COMANDOS + Mes:SETEMBRO
0.0613,Fator:APLICAÇÃO DE COMANDOS + Nivel_dano:DESTRUÍDA
0.0450,Fator:APLICAÇÃO DE COMANDOS + Nivel_dano:LEVE
0.2495,Fator:APLICAÇÃO DE COMANDOS + Nivel_dano:SUBSTANCIAL
0.0703,Fator:APLICAÇÃO DE COMANDOS + Tipo:EXCURSÃO DE PISTA
0.0383,Fator:APLICAÇÃO DE COMANDOS + Tipo:FALHA DO MOTOR EM VOO
0.1050,Fator:APLICAÇÃO DE COMANDOS + Tipo:PERDA DE CONTROLE EM VOO
0.0896,Fator:APLICAÇÃO DE COMANDOS + Tipo:PERDA DE CONTROLE NO SOLO
0.0324,Fator:APLICAÇÃO DE COMANDOS + UF:MT
0.0347,Fator:APLICAÇÃO DE COMANDOS + UF:PR
0.0365,Fator:APLICAÇÃO DE COMANDOS + UF:RS
0.0851,Fator:APLICAÇÃO DE COMANDOS + UF:SP
0.0500,Fator:ATENÇÃO + Fator:ATITUDE
0.0536,Fator:ATENÇÃO + Fator:JULGAMENTO DE PILOTAGEM
0.0568,Fator:ATENÇÃO + Fator:PERCEPÇÃO
0.0347,Fator:ATENÇÃO + Fator:PLANEJAMENTO DE VOO
0.0342,Fator:ATENÇÃO + Fator:PROCESSO DECISÓRIO
0.0590,Fator:ATENÇÃO + Nivel_dano:SUBSTANCIAL
0.0437,Fator:ATITUDE + Fator:CAPACITAÇÃO E TREINAMENTO
0.0446,Fator:ATITUDE + Fator:CONDIÇÕES METEOROLÓGICAS ADVERSAS
0.0360,Fator:ATITUDE + Fator:COORDENAÇÃO DE CABINE
0.0387,Fator:ATITUDE + Fator:CULTURA ORGANIZACIONAL
0.0437,Fator:ATITUDE + Fator:INDISCIPLINA DE VOO
0.0369,Fator:ATITUDE + Fator:INSTRUÇÃO
0.1586,Fator:ATITUDE + Fator:JULGAMENTO DE PILOTAGEM
0.0392,Fator:ATITUDE + Fator:MANUTENÇÃO DA AERONAVE
0.0387,Fator:ATITUDE + Fator:MOTIVAÇÃO
0.0779,Fator:ATITUDE + Fator:PERCEPÇÃO
0.0937,Fator:ATITUDE + Fator:PLANEJAMENTO DE VOO
0.0473,Fator:ATITUDE + Fator:POUCA EXPERIÊNCIA DO PILOTO
0.1266,Fator:ATITUDE + Fator:PROCESSO DECISÓRIO
0.0387,Fator:ATITUDE + Fator:PROCESSOS ORGANIZACIONAIS
0.0797,Fator:ATITUDE + Fator:SUPERVISÃO GERENCIAL
0.0617,Fator:ATITUDE + Nivel_dano:DESTRUÍDA
0.1396,Fator:ATITUDE + Nivel_dano:SUBSTANCIAL
0.0315,Fator:ATITUDE + Tipo:FALHA DO MOTOR EM VOO
0.0509,Fator:ATITUDE + Tipo:PERDA DE CONTROLE EM VOO
0.0374,Fator:ATITUDE + UF:SP
0.0333,Fator:CAPACITAÇÃO E TREINAMENTO + Fator:INSTRUÇÃO
0.0486,Fator:CAPACITAÇÃO E TREINAMENTO + Fator:JULGAMENTO DE PILOTAGEM
0.0392,Fator:CAPACITAÇÃO E TREINAMENTO + Fator:PROCESSO DECISÓRIO
0.0405,Fator:CAPACITAÇÃO E TREINAMENTO + Fator:SUPERVISÃO GERENCIAL
0.0432,Fator:CAPACITAÇÃO E TREINAMENTO + Nivel_dano:SUBSTANCIAL
0.0788,Fator:CONDIÇÕES METEOROLÓGICAS ADVERSAS + Fator:JULGAMENTO DE PILOTAGEM
0.0559,Fator:CONDIÇÕES METEOROLÓGICAS ADVERSAS + Fator:PLANEJAMENTO DE VOO
0.0514,Fator:CONDIÇÕES METEOROLÓGICAS ADVERSAS + Fator:PROCESSO DECISÓRIO
0.0383,Fator:CONDIÇÕES METEOROLÓGICAS ADVERSAS + Nivel_dano:DESTRUÍDA
0.0563,Fator:CONDIÇÕES METEOROLÓGICAS ADVERSAS + Nivel_dano:SUBSTANCIAL
0.0644,Fator:COORDENAÇÃO DE CABINE + Fator:JULGAMENTO DE PILOTAGEM
0.0302,Fator:COORDENAÇÃO DE CABINE + Fator:PERCEPÇÃO
0.0311,Fator:COORDENAÇÃO DE CABINE + Fator:PROCESSO DECISÓRIO
0.0378,Fator:COORDENAÇÃO DE CABINE + Fator:SUPERVISÃO GERENCIAL
0.0486,Fator:COORDENAÇÃO DE CABINE + Nivel_dano:SUBSTANCIAL
0.0387,Fator:CULTURA ORGANIZACIONAL + Fator:JULGAMENTO DE PILOTAGEM
0.0315,Fator:CULTURA ORGANIZACIONAL + Fator:PROCESSO DECISÓRIO
0.0518,Fator:CULTURA ORGANIZACIONAL + Fator:SUPERVISÃO GERENCIAL
0.0347,Fator:CULTURA ORGANIZACIONAL + Nivel_dano:SUBSTANCIAL
0.0333,Fator:ESQUECIMENTO DO PILOTO + Nivel_dano:SUBSTANCIAL
0.0752,Fator:INDISCIPLINA DE VOO + Fator:JULGAMENTO DE PILOTAGEM
0.0495,Fator:INDISCIPLINA DE VOO + Fator:PLANEJAMENTO DE VOO
0.0342,Fator:INDISCIPLINA DE VOO + Fator:PROCESSO DECISÓRIO
0.0441,Fator:INDISCIPLINA DE VOO + Fator:SUPERVISÃO GERENCIAL
0.0401,Fator:INDISCIPLINA DE VOO + Nivel_dano:DESTRUÍDA
0.0514,Fator:INDISCIPLINA DE VOO + Nivel_dano:SUBSTANCIAL
0.0428,Fator:INFRAESTRUTURA AEROPORTUÁRIA + Fator:JULGAMENTO DE PILOTAGEM
0.0419,Fator:INFRAESTRUTURA AEROPORTUÁRIA + Nivel_dano:SUBSTANCIAL
0.0739,Fator:INSTRUÇÃO + Fator:JULGAMENTO DE PILOTAGEM
0.0378,Fator:INSTRUÇÃO + Fator:PLANEJAMENTO DE VOO
0.0419,Fator:INSTRUÇÃO + Fator:POUCA EXPERIÊNCIA DO PILOTO
0.0302,Fator:INSTRUÇÃO + Fator:PROCESSO DECISÓRIO
0.0635,Fator:INSTRUÇÃO + Fator:SUPERVISÃO GERENCIAL
0.0671,Fator:INSTRUÇÃO + Nivel_dano:SUBSTANCIAL
0.0338,Fator:INSTRUÇÃO + UF:SP
0.0694,Fator:JULGAMENTO DE PILOTAGEM + Fator:MANUTENÇÃO DA AERONAVE
0.0360,Fator:JULGAMENTO DE PILOTAGEM + Fator:MOTIVAÇÃO
0.0342,Fator:JULGAMENTO DE PILOTAGEM + Fator:OUTRO FATOR
0.1014,Fator:JULGAMENTO DE PILOTAGEM + Fator:PERCEPÇÃO
0.2045,Fator:JULGAMENTO DE PILOTAGEM + Fator:PLANEJAMENTO DE VOO
0.1032,Fator:JULGAMENTO DE PILOTAGEM + Fator:POUCA EXPERIÊNCIA DO PILOTO
0.1766,Fator:JULGAMENTO DE PILOTAGEM + Fator:PROCESSO DECISÓRIO
0.0396,Fator:JULGAMENTO DE PILOTAGEM + Fator:PROCESSOS ORGANIZACIONAIS
0.0405,Fator:JULGAMENTO DE PILOTAGEM + Fator:SISTEMAS DE APOIO
0.1518,Fator:JULGAMENTO DE PILOTAGEM + Fator:SUPERVISÃO GERENCIAL
0.0459,Fator:JULGAMENTO DE PILOTAGEM + Mes:ABRIL
0.0365,Fator:JULGAMENTO DE PILOTAGEM + Mes:AGOSTO
