antecedents,consequents,support,confidence,lift
Faixa_horaria:TARDE + Tipo:EXCURSÃO DE PISTA,Fator:JULGAMENTO DE PILOTAGEM,0.0401,0.5779,1.1079
Faixa_horaria:MANHÃ,Fator:SUPERVISÃO GERENCIAL,0.0577,0.3377,1.1042
Fase_operacao:DECOLAGEM,Fator:JULGAMENTO DE PILOTAGEM,0.1063,0.5742,1.1008
Tipo:FALHA DO MOTOR EM VOO,Fator:SUPERVISÃO GERENCIAL,0.0626,0.3366,1.1004
Nivel_dano:DESTRUÍDA,Fator:APLICAÇÃO DE COMANDOS,0.0613,0.4072,1.0997
Faixa_horaria:MANHÃ,Fator:ATITUDE,0.0446,0.2612,1.0962
Mes:NOVEMBRO + Nivel_dano:SUBSTANCIAL,Fator:JULGAMENTO DE PILOTAGEM,0.0306,0.5714,1.0955
Faixa_horaria:TARDE + Nivel_dano:SUBSTANCIAL,Fator:APLICAÇÃO DE COMANDOS,0.1266,0.4055,1.0951
Faixa_horaria:TARDE + UF:SP,Fator:SUPERVISÃO GERENCIAL,0.0320,0.3349,1.0950
Mes:JANEIRO + Nivel_dano:SUBSTANCIAL,Fator:JULGAMENTO DE PILOTAGEM,0.0392,0.5686,1.0901
Fase_operacao:DECOLAGEM,Fator:SUPERVISÃO GERENCIAL,0.0617,0.3333,1.0898
Mes:FEVEREIRO,Fator:PLANEJAMENTO DE VOO,0.0306,0.3148,1.0886
Mes:ABRIL + Nivel_dano:SUBSTANCIAL,Fator:JULGAMENTO DE PILOTAGEM,0.0315,0.5645,1.0822
Faixa_horaria:NOITE + UF:SP,Fator:JULGAMENTO DE PILOTAGEM,0.0356,0.5643,1.0818
Faixa_horaria:TARDE + Nivel_dano:SUBSTANCIAL + UF:SP,Fator:JULGAMENTO DE PILOTAGEM,0.0396,0.5641,1.0814
Fase_operacao:MANOBRA,Fator:JULGAMENTO DE PILOTAGEM,0.0459,0.5635,1.0804
UF:BA,Fator:JULGAMENTO DE PILOTAGEM,0.0302,0.5630,1.0794
Faixa_horaria:NOITE + Fase_operacao:POUSO,Fator:JULGAMENTO DE PILOTAGEM,0.0383,0.5629,1.0792
Faixa_horaria:NOITE + Nivel_dano:SUBSTANCIAL,Fator:PLANEJAMENTO DE VOO,0.0698,0.3119,1.0784
UF:RS,Fator:JULGAMENTO DE PILOTAGEM,0.0495,0.5612,1.0759
Faixa_horaria:MANHÃ + Nivel_dano:SUBSTANCIAL,Fator:SUPERVISÃO GERENCIAL,0.0374,0.3281,1.0726
Faixa_horaria:TARDE + Fase_operacao:DECOLAGEM,Fator:JULGAMENTO DE PILOTAGEM,0.0459,0.5574,1.0685
Faixa_horaria:MANHÃ,Fator:PLANEJAMENTO DE VOO,0.0527,0.3087,1.0675
Faixa_horaria:TARDE,Fator:MANUTENÇÃO DA AERONAVE,0.1207,0.2612,1.0660
Fase_operacao:POUSO + Nivel_dano:SUBSTANCIAL,Fator:PROCESSO DECISÓRIO,0.0311,0.2363,1.0641
Faixa_horaria:TARDE + Nivel_dano:SUBSTANCIAL,Fator:JULGAMENTO DE PILOTAGEM,0.1730,0.5541,1.0623
Mes:NOVEMBRO,Fator:JULGAMENTO DE PILOTAGEM,0.0464,0.5538,1.0616
